          29          21
    0.6690043211E-01    0.4334513214E-03   -0.9880430251E-01
    0.6633032113E-01    0.2607075498E-02   -0.9852542728E-01
    0.6577289850E-01    0.4780055024E-02   -0.9822453558E-01
    0.6524837017E-01    0.6951162592E-02   -0.9787153453E-01
    0.6474710256E-01    0.9120414965E-02   -0.9748705477E-01
    0.6426196545E-01    0.1128720492E-01   -0.9707508981E-01
    0.6379619241E-01    0.1345155481E-01   -0.9663595259E-01
    0.6334856153E-01    0.1561284158E-01   -0.9617029130E-01
    0.6291437894E-01    0.1776988432E-01   -0.9568003565E-01
    0.6249867752E-01    0.1992207393E-01   -0.9515808523E-01
    0.6210071221E-01    0.2206883207E-01   -0.9460778534E-01
    0.6173955649E-01    0.2420653030E-01   -0.9400878102E-01
    0.6138982251E-01    0.2633879147E-01   -0.9338887781E-01
    0.6105973944E-01    0.2846504189E-01   -0.9274106473E-01
    0.6074207276E-01    0.3058644757E-01   -0.9207565337E-01
    0.6043349952E-01    0.3270306066E-01   -0.9139270335E-01
    0.6014620140E-01    0.3481065109E-01   -0.9067901969E-01
    0.5989028141E-01    0.3690384328E-01   -0.8991904557E-01
    0.5964791030E-01    0.3899103403E-01   -0.8914167434E-01
    0.5942235515E-01    0.4107042775E-01   -0.8834231645E-01
    0.5920379609E-01    0.4314564541E-01   -0.8753179014E-01
    0.5899214000E-01    0.4521666840E-01   -0.8670948446E-01
    0.5881613120E-01    0.4726616293E-01   -0.8583424240E-01
    0.5864512548E-01    0.4931029305E-01   -0.8494728804E-01
    0.5849656463E-01    0.5134426057E-01   -0.8403565735E-01
    0.5835271999E-01    0.5337468907E-01   -0.8311656117E-01
    0.5821106583E-01    0.5540392920E-01   -0.8219492435E-01
    0.5811314285E-01    0.5732811615E-01   -0.8125381917E-01
    0.5803756416E-01    0.5892711878E-01   -0.8046112955E-01
    0.5772947147E-01    0.4333958495E-03   -0.9296447039E-01
    0.5737904832E-01    0.2630267059E-02   -0.9255306423E-01
    0.5692077056E-01    0.4831395578E-02   -0.9226442873E-01
    0.5648769066E-01    0.7031860761E-02   -0.9194314480E-01
    0.5607459322E-01    0.9232245386E-02   -0.9159462899E-01
    0.5567947030E-01    0.1143135503E-01   -0.9122034907E-01
    0.5530549586E-01    0.1362920459E-01   -0.9082000703E-01
    0.5495199189E-01    0.1582336612E-01   -0.9038846195E-01
    0.5462979898E-01    0.1801085286E-01   -0.8991456032E-01
    0.5433366075E-01    0.2019225992E-01   -0.8940648288E-01
    0.5405290052E-01    0.2236881666E-01   -0.8887682110E-01
    0.5379499495E-01    0.2453930117E-01   -0.8831373602E-01
    0.5355344340E-01    0.2670554444E-01   -0.8773224801E-01
    0.5332829431E-01    0.2886753529E-01   -0.8713278174E-01
    0.5312214419E-01    0.3102107532E-01   -0.8650679141E-01
    0.5294460431E-01    0.3316438943E-01   -0.8584591746E-01
    0.5278737843E-01    0.3529806808E-01   -0.8515360951E-01
    0.5265142024E-01    0.3742272779E-01   -0.8443251997E-01
    0.5252979696E-01    0.3954196349E-01   -0.8370318264E-01
    0.5242189765E-01    0.4165340960E-01   -0.8295317739E-01
    0.5232649297E-01    0.4375824705E-01   -0.8218682557E-01
    0.5226331949E-01    0.4584929347E-01   -0.8138450235E-01
    0.5220696703E-01    0.4793016985E-01   -0.8056279272E-01
    0.5218311772E-01    0.4999548569E-01   -0.7971003652E-01
    0.5215634406E-01    0.5206020921E-01   -0.7885646820E-01
    0.5213887990E-01    0.5411838740E-01   -0.7798967510E-01
    0.5214712769E-01    0.5616460368E-01   -0.7710282505E-01
    0.5217654631E-01    0.5811531842E-01   -0.7621694356E-01
    0.5220954865E-01    0.5973495170E-01   -0.7546883076E-01
    0.4899718612E-01    0.4335131380E-03   -0.8650525659E-01
    0.4875614494E-01    0.2653134987E-02   -0.8614356071E-01
    0.4837938026E-01    0.4881243687E-02   -0.8588690311E-01
    0.4802753031E-01    0.7110450417E-02   -0.8560222387E-01
    0.4770092666E-01    0.9338972159E-02   -0.8528336883E-01
    0.4740689322E-01    0.1156558748E-01   -0.8493011445E-01
    0.4713975638E-01    0.1378851384E-01   -0.8454096317E-01
    0.4689290747E-01    0.1600774378E-01   -0.8412764966E-01
    0.4666645825E-01    0.1822328940E-01   -0.8369202167E-01
    0.4646479338E-01    0.2043394558E-01   -0.8323217928E-01
    0.4628780857E-01    0.2263971232E-01   -0.8274280280E-01
    0.4612191767E-01    0.2484180778E-01   -0.8223369718E-01
    0.4597890750E-01    0.2703784034E-01   -0.8170279860E-01
    0.4587421566E-01    0.2922179922E-01   -0.8112666011E-01
    0.4579372332E-01    0.3139669076E-01   -0.8052978665E-01
    0.4573537409E-01    0.3356312215E-01   -0.7990739495E-01
    0.4569150880E-01    0.3572412580E-01   -0.7926458865E-01
    0.4565563053E-01    0.3787969053E-01   -0.7860768586E-01
    0.4565186054E-01    0.4002322257E-01   -0.7792735845E-01
    0.4565399885E-01    0.4216193035E-01   -0.7723956555E-01
    0.4569759592E-01    0.4428084195E-01   -0.7650313526E-01
    0.4576306790E-01    0.4639312997E-01   -0.7575024664E-01
    0.4584199935E-01    0.4849166051E-01   -0.7497406006E-01
    0.4592125863E-01    0.5058780313E-01   -0.7420237362E-01
    0.4602752626E-01    0.5267074704E-01   -0.7340080291E-01
    0.4613649100E-01    0.5474893004E-01   -0.7259274274E-01
    0.4627675191E-01    0.5681275204E-01   -0.7176706940E-01
    0.4644438624E-01    0.5877511948E-01   -0.7092988491E-01
    0.4658257961E-01    0.6040941179E-01   -0.7023339719E-01
    0.4066220298E-01    0.4332484677E-03   -0.7954029739E-01
    0.4053534195E-01    0.2670800779E-02   -0.7921846211E-01
    0.4024717584E-01    0.4920466803E-02   -0.7898215204E-01
    0.3998384997E-01    0.7171218749E-02   -0.7872301340E-01
    0.3973837197E-01    0.9422476403E-02   -0.7844111323E-01
    0.3952546045E-01    0.1167180948E-01   -0.7812812924E-01
    0.3933798522E-01    0.1391864195E-01   -0.7778806984E-01
    0.3916961700E-01    0.1616297103E-01   -0.7742931694E-01
    0.3902912885E-01    0.1840239391E-01   -0.7704300433E-01
    0.3891969472E-01    0.2063690871E-01   -0.7663226128E-01
    0.3884583712E-01    0.2286350168E-01   -0.7618252188E-01
    0.3879695013E-01    0.2508341707E-01   -0.7570191473E-01
    0.3876893595E-01    0.2729604580E-01   -0.7520074397E-01
    0.3875624016E-01    0.2950379625E-01   -0.7468658686E-01
    0.3878186643E-01    0.3169947118E-01   -0.7414419949E-01
    0.3881961107E-01    0.3389028460E-01   -0.7359120250E-01
    0.3887481242E-01    0.3607564420E-01   -0.7301530242E-01
    0.3894891962E-01    0.3825254366E-01   -0.7241509110E-01
    0.3905873746E-01    0.4041380435E-01   -0.7179289311E-01
    0.3920109197E-01    0.4255945235E-01   -0.7113611698E-01
    0.3935129195E-01    0.4470146447E-01   -0.7047730684E-01
    0.3953110799E-01    0.4683205113E-01   -0.6978985667E-01
    0.3970992565E-01    0.4895547777E-01   -0.6909830868E-01
    0.3992343321E-01    0.5106268451E-01   -0.6838329136E-01
    0.4013068974E-01    0.5316931382E-01   -0.6766710430E-01
    0.4037844390E-01    0.5525557697E-01   -0.6691358984E-01
    0.4065979272E-01    0.5732510611E-01   -0.6614546478E-01
    0.4092173278E-01    0.5931288749E-01   -0.6540288031E-01
    0.4115924612E-01    0.6096009538E-01   -0.6476915628E-01
    0.3283465281E-01    0.4331011150E-03   -0.7199597359E-01
    0.3275975958E-01    0.2686840249E-02   -0.7177450508E-01
    0.3254187480E-01    0.4954462405E-02   -0.7158098370E-01
    0.3234896064E-01    0.7223170716E-02   -0.7136492431E-01
    0.3218965977E-01    0.9490544908E-02   -0.7111861557E-01
    0.3206731007E-01    0.1175479498E-01   -0.7083685696E-01
    0.3196589276E-01    0.1401772536E-01   -0.7053873688E-01
    0.3189029545E-01    0.1627634093E-01   -0.7021723688E-01
    0.3185089678E-01    0.1852943189E-01   -0.6986789405E-01
    0.3182971850E-01    0.2077941597E-01   -0.6950926781E-01
    0.3184372559E-01    0.2302328311E-01   -0.6911996007E-01
    0.3187526390E-01    0.2526165359E-01   -0.6870712340E-01
    0.3192338720E-01    0.2749393322E-01   -0.6828248501E-01
    0.3200946376E-01    0.2971591242E-01   -0.6782619655E-01
    0.3210975975E-01    0.3193242103E-01   -0.6736772507E-01
    0.3226456419E-01    0.3413323313E-01   -0.6686628610E-01
    0.3243576735E-01    0.3632798791E-01   -0.6634432077E-01
    0.3261966631E-01    0.3851429000E-01   -0.6580102444E-01
    0.3283886611E-01    0.4068673402E-01   -0.6524750590E-01
    0.3306729347E-01    0.4285254702E-01   -0.6468503922E-01
    0.3332674876E-01    0.4500573128E-01   -0.6409832090E-01
    0.3358836100E-01    0.4715770110E-01   -0.6350940466E-01
    0.3388182446E-01    0.4929166287E-01   -0.6289280206E-01
    0.3418997675E-01    0.5141660571E-01   -0.6227438152E-01
    0.3454662487E-01    0.5351642519E-01   -0.6160576642E-01
    0.3490464389E-01    0.5561262369E-01   -0.6093638763E-01
    0.3528229892E-01    0.5770286173E-01   -0.6027750671E-01
    0.3566712514E-01    0.5969282612E-01   -0.5960689858E-01
    0.3598847613E-01    0.6135119498E-01   -0.5905273557E-01
    0.2545233816E-01    0.4331319942E-03   -0.6403222680E-01
    0.2559864707E-01    0.2685461193E-02   -0.6376278400E-01
    0.2545149624E-01    0.4961421713E-02   -0.6360542029E-01
    0.2532524057E-01    0.7237866055E-02   -0.6343488395E-01
